"TITULO","ASSUNTOS","AUTORES","OBRA","IDIOMA","ANO","DATA_ATUALIZACAO","MATERIAL","CLASSIFICACAO","TIPO_MATERIAL","ISBN_ISSN","AUTOR_PRINCIPAL","EDITORA","EDICAO"
Psicologia diferencial,"Psicologia diferencial, Psicofisiologia","Anastasi, Anne",Psicologia diferencial / Anne Anastasi ; tradução de Irene Hirschberg,Português,"1974",2019-03-25 11:35:59,Livros,"155",BK,9788503007177,"Anastasi, Anne",E.P.U: Ed. da USP,
Didatica fundamentada na teoria de Piaget,"Piaget, Jean, 1896-1980., Psicologia educacional, Didática","Cunha, Maria Auxiliadora Versiani",Didatica fundamentada na teoria de Piaget / M. A. Versiani Cunha. -,Português,"1973",2015-02-13 16:24:53,Livros,"370.15",BK,,"Cunha, Maria Auxiliadora Versiani",Forense,"2. ed. -"
Educação e tecnologia,"Tecnologia educacional, Ensino - Meios auxiliares, Ensino gerenciado por computador, Televisão na educação, Ensino programado","Nerici, Imideo Giuseppe",Educação e tecnologia / Imideo Giuseppe Nerici. -,Português,"1973",2015-02-13 16:25:02,Livros,"371.3078",BK,,"Nerici, Imideo Giuseppe",Fundo de Cultura,
Testes psicologicos : teoria e aplicação,Testes psicológicos,"Anastasi, Anne",Testes psicologicos : teoria e aplicação / Anne Anastasi ; trad. de Dante Moreira Leite. -,Português,"1973",2015-02-13 16:25:12,Livros,"153.93",BK,,"Anastasi, Anne",EPU,
Educação e vida : uma contribuição a definição da educação permanente,"Educação - Filosofia, Educação permanente, Antropologia educacional","Furter, Pierre",Educação e vida : uma contribuição a definição da educação permanente / Pierre Furter. -,Português,"1972",2015-02-13 16:25:21,Livros,"370.1",BK,,"Furter, Pierre",Vozes,"4. ed. -"
Educação e reflexão,Educação - Filosofia,"Furter, Pierre",Educação e reflexão / Pierre Furter.-,Português,"1966",2015-02-13 16:25:30,Livros,"370.1",BK,,"Furter, Pierre",Vozes,
O amante de Lady Chatterley,Ficção inglesa,"Lawrence, D. H.",O amante de Lady Chatterley / D. H. Lawrence ; tradução de Rodrigo Richter. -,Português,"1972",2015-02-13 16:25:53,Livros,"823",BK,,"Lawrence, D. H.",Abril Cultural,
Manual de direito constitucional,"Brasil. [Constituição (1988)]., Direito constitucional, Direito constitucional - Brasil, Brasil - História constitucional","Ferreira, Pinto",Manual de direito constitucional / Pinto Ferreira. -,Português,"1992",2015-02-13 16:26:02,Livros,"342.1",BK,,"Ferreira, Pinto",Forense,"2. ed. -"
Principios de telecomunicaçães,Telecomunicações,"Melo, Jair Candido de",Principios de telecomunicaçães / JairCandido de Melo.-,Português,c1976,2015-02-13 16:26:30,Livros,"621.382",BK,,"Melo, Jair Candido de",MacGraw-Hill,
Supervisão e gerência,"Pessoal - Supervisão, Administração de pessoal","Benton, Lewis R.",Supervisão e gerência / Trad. de Jorge Milton Moreira Nunes. -,Português,[1977],2015-02-13 16:26:39,Livros,"658.302",BK,,"Benton, Lewis R.",Zahar,
O pensamento constitucional brasileiro,Direito constitucional - Brasil - Brasil,Simposio sobre a Evolução do Pensamento Constitucional Brasileiro,"O pensamento constitucional brasileiro: ciclo de conferencias realizado pela Universidade de Brasilia, no periodo de 24 a 26 de outubro de 1977. -",Português,"1978",2015-02-13 16:27:06,Livros,"342.81",BK,,Simposio sobre a Evolução do Pensamento Constitucional Brasileiro,Camara dos Deputados,
Historia da Bolsa de Valores do Rio de Janeiro,"Bolsa de Valores do Rio de Janeiro - História - História, Finanças - História, Brasil - Condições econômicas","Levy, Maria Barbara",Historia da Bolsa de Valores do Rio de Janeiro / Maria Barbara Levy. -,Português,"1977",2015-02-13 16:27:14,Livros,"332.6428153",BK,,"Levy, Maria Barbara",IBMEC,
Planejamento bibliotecário no Brasil,"Biblioteconomia, Biblioteconomia - Orientação profissional, Escolas de biblioteconomia - Brasil","Miranda, Antonio",Planejamento bibliotecário no Brasil: a informação para o desenvolvimento / Antonio Miranda. -,Português,[1977],2015-02-13 16:27:33,Livros,"020.981",BK,8570300492,"Miranda, Antonio",Livros Técnicos e Científicos,
